"id";"type";"energy";"usage";"usagenet";"createdat";"startdate";"enddate";"fillingdatecancellation";"cancellationreason";"city";"status";"productid";"modificationdate"
1;"energy";"electricity";2100;2084;"2018-03-12";"2018-12-01";"";"";"";"Wuppertal";"indelivery";1000;"2020-04-17"
2;"energy";"electricity";2700;2569;"2018-01-26";"2018-10-01";"";"";"";"Cologne";"indelivery";1000;"2020-02-06"
3;"energy";"electricity";2900;2760;"2019-04-09";"2019-09-01";"";"";"";"Berlin";"indelivery";1002;"2020-01-20"
4;"energy";"electricity";2500;2391;"2019-09-27";"2019-11-01";"2020-02-29";"2020-02-01";"fristgerecht durch Kunde";"Dortmund";"terminated";1000;"2020-02-01"
5;"energy";"electricity";2200;2178;"2020-04-01";"2020-11-01";"";"";"";"Hannover";"active";1001;"2020-07-06"
6;"energy";"electricity";2400;2375;"2020-02-02";"2020-07-01";"";"";"";"Freiberg";"indelivery";1001;"2020-04-01"
7;"energy";"electricity";2800;2915;"2019-07-20";"2019-09-01";"";"";"";"Mainz";"indelivery";1001;"2020-07-20"
8;"energy";"electricity";2800;2802;"2018-11-22";"2019-07-01";"";"";"";"Berlin";"indelivery";1001;"2020-03-10"
9;"energy";"electricity";2900;2894;"2018-06-27";"2018-07-01";"";"";"";"Duisburg";"indelivery";1000;"2018-08-08"
10;"energy";"electricity";2500;2489;"2019-07-06";"2019-08-01";"";"";"";"Munich";"indelivery";1000;"2020-09-12"
11;"energy";"electricity";3000;3087;"2020-06-08";"2021-07-30";"";"";"";"Lübeck";"active";1002;"2020-10-07"
12;"energy";"gas";9400;8969;"2019-07-13";"2019-09-01";"";"";"";"Berlin";"indelivery";2000;"2020-01-26"
13;"energy";"electricity";2600;2493;"2019-01-18";"2019-02-01";"";"";"";"Frankfurt";"indelivery";1000;"2020-05-26"
14;"energy";"electricity";2900;2935;"2020-09-06";"2020-10-01";"";"";"";"Hamburg";"indelivery";1000;"2020-09-25"
15;"energy";"gas";7700;8009;"2019-01-30";"2019-04-01";"";"";"";"Berlin";"indelivery";2000;"2019-04-27"
16;"energy";"electricity";2400;2409;"2018-08-26";"2018-09-01";"";"";"";"Frankfurt";"indelivery";1000;"2020-01-15"
17;"energy";"electricity";2600;2609;"2019-11-07";"2020-01-01";"";"";"";"Wiesbaden";"indelivery";1002;"2020-07-31"
18;"energy";"electricity";2200;2293;"2019-12-29";"2020-02-01";"2020-11-30";"2020-11-02";"fristgerecht durch Kunde";"Munich";"cancelled";1002;"2020-01-08"
19;"energy";"electricity";2500;2442;"2020-04-12";"2021-02-01";"";"";"";"Kiel";"active";1000;"2020-06-13"
20;"energy";"electricity";2100;2115;"2020-06-10";"2020-07-01";"2020-12-31";"2020-12-03";"fristgerecht durch LichtBlick";"Cologne";"cancelled";1000;"2020-07-05"
21;"energy";"electricity";2400;"";"2019-06-17";"2019-10-01";"";"";"";"Hamburg";"indelivery";1001;"2020-05-01"
22;"energy";"electricity";2200;2265;"2019-02-26";"2019-04-01";"";"";"";"Hamburg";"indelivery";1000;"2020-06-07"
23;"energy";"electricity";2500;2456;"2018-03-31";"2019-09-01";"";"";"";"Marienberg";"indelivery";1000;"2019-11-22"
24;"energy";"gas";7700;8184;"2020-01-22";"2020-03-01";"";"";"";"Cologne";"indelivery";2000;"2020-04-01"
25;"energy";"electricity";2300;2217;"2018-05-29";"2018-06-01";"2020-03-31";"2020-03-02";"fristgerecht durch LichtBlick";"Berlin";"terminated";1002;"2019-07-20"
26;"energy";"electricity";2900;2866;"2018-07-05";"2018-09-01";"";"";"";"Freiburg";"indelivery";1000;"2019-09-07"
27;"energy";"electricity";2900;2820;"2020-05-09";"2020-09-01";"";"";"";"Bremen";"indelivery";1000;"2020-07-04"
28;"energy";"electricity";2500;2626;"2018-02-08";"2018-04-01";"2018-11-30";"2018-10-27";"Umzug";"Munich";"terminated";1001;"2018-10-27"
29;"energy";"electricity";2200;2211;"2018-07-09";"2018-12-01";"";"";"";"Berlin";"indelivery";1002;"2020-08-04"
30;"energy";"electricity";2500;"";"2020-09-12";"2020-10-01";"";"";"";"Berlin";"indelivery";1000;"2020-09-26"
31;"energy";"gas";10700;10207;"2018-05-31";"2018-06-01";"";"";"";"Potsdam";"indelivery";2000;"2019-03-12"
32;"energy";"gas";8500;8720;"2018-04-25";"2018-05-01";"2018-11-30";"2018-11-01";"Umzug";"Hamburg";"terminated";2000;"2018-11-01"
33;"energy";"electricity";2200;2095;"2020-09-18";"2020-11-01";"";"";"";"Cologne";"active";1002;"2020-09-27"
34;"energy";"electricity";2500;2420;"2018-03-19";"2018-10-01";"2020-08-31";"2020-08-02";"fristgerecht durch LichtBlick";"Wuppertal";"terminated";1001;"2019-09-19"
35;"energy";"electricity";1900;"";"2018-07-03";"2019-03-01";"";"";"";"Berlin";"indelivery";1002;"2020-01-03"
36;"energy";"electricity";2600;2808;"2019-05-05";"2019-09-01";"";"";"";"Gera";"indelivery";1000;"2020-09-24"
37;"energy";"electricity";2400;2474;"2018-12-25";"2019-04-01";"2019-07-31";"2019-06-30";"fristgerecht durch LichtBlick";"Bremen";"terminated";1002;"2019-06-30"
38;"energy";"gas";11000;10773;"2020-03-11";"2020-04-01";"2020-07-31";"2020-06-29";"fristgerecht durch Kunde";"Halle";"terminated";2001;"2020-06-29"
39;"energy";"electricity";2400;2531;"2020-04-06";"2020-05-01";"";"";"";"Bremen";"indelivery";1000;"2020-09-11"
40;"energy";"gas";8700;9203;"2020-02-20";"2020-06-01";"";"";"";"Munich";"indelivery";2001;"2020-06-15"
41;"energy";"electricity";2500;2447;"2019-03-01";"2019-09-01";"";"";"";"Regensburg";"indelivery";1002;"2020-09-11"
42;"energy";"electricity";2600;"";"2020-01-06";"2020-03-01";"";"";"";"Nordhorn";"indelivery";1000;"2020-06-11"
